iteration,model,comparison,prompt_index,cosine_similarity,left_words,right_words,prompt_bundle_sha256
4,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,3,0.88144141,57,60,
4,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,4,0.89277214,82,84,
4,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,5,0.88103068,97,98,
4,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,1,0.86452937,20,20,
4,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,2,0.86208349,40,43,
4,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,3,0.87005579,57,61,
4,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,4,0.87823039,82,89,
4,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,5,0.86694920,97,106,
4,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,1,0.86635643,22,20,
4,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,2,0.89539540,42,43,
4,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,3,0.90847951,60,61,
4,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,4,0.91203648,84,89,
4,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,5,0.91194904,98,106,
5,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,1,0.86829293,20,22,
5,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,2,0.86908066,40,42,
5,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,3,0.88144141,57,60,
5,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,4,0.89277214,82,84,
5,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,5,0.88103068,97,98,
5,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,1,0.86452937,20,20,
5,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,2,0.86634374,40,42,
5,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,3,0.87123209,57,60,
5,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,4,0.87397420,82,88,
5,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,5,0.86318910,97,105,
5,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,1,0.86635643,22,20,
5,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,2,0.90244091,42,42,
5,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,3,0.91635865,60,60,
5,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,4,0.92032093,84,88,
5,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,5,0.92114556,98,105,
6,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,1,0.86829293,20,22,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,2,0.86908066,40,42,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,3,0.88144141,57,60,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,4,0.89277214,82,84,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,5,0.88359141,97,98,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,1,0.86452937,20,20,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,2,0.86208349,40,43,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,3,0.87005579,57,61,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,4,0.87823039,82,89,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,5,0.86694920,97,106,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,1,0.86635643,22,20,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,2,0.89539540,42,43,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,3,0.90847951,60,61,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,4,0.91203648,84,89,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
6,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,5,0.90288287,98,106,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,1,0.88689727,20,22,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,2,0.77380830,40,42,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,3,0.76572418,57,60,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,4,0.77811795,82,84,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,5,0.78682905,97,98,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,1,0.89989257,20,20,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,2,0.83827126,40,43,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,3,0.79020953,57,61,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,4,0.82016051,82,89,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,5,0.86044168,97,106,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,1,0.87611306,22,20,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,2,0.89835131,42,43,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,3,0.90335631,60,61,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,4,0.89405096,84,89,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
7,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,5,0.89913559,98,106,e82f44f8e663818c51ff40a4610f411a7d7ea1ac4fd7052d8ad24e90fd5a4df8
8,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,1,0.93989271,20,19,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,2,0.94653451,40,38,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,3,0.93406248,57,53,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,4,0.95322764,82,78,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,5,0.95074421,97,92,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,1,0.95621312,20,20,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,2,0.94994390,40,40,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,3,0.95257902,57,56,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,4,0.95788848,82,81,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,5,0.95938075,97,96,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,1,0.92785841,19,20,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,2,0.94651765,38,40,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,3,0.93986291,53,56,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,4,0.95101136,78,81,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
8,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,5,0.94511473,92,96,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,1,0.95244402,20,19,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,2,0.88395959,40,38,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,3,0.91583085,57,53,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,4,0.91517311,82,78,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,5,0.92228448,97,92,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,1,0.95597887,20,20,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,2,0.88275856,40,40,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,3,0.93800801,57,56,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,4,0.93160224,82,81,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,5,0.93228865,97,96,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,1,0.95822442,19,20,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,2,0.94118136,38,40,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,3,0.94615746,53,56,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,4,0.94799483,78,81,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
9,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,5,0.95365286,92,96,a6d17ec09121d3b136f0c31402bb6eeb20bbe70afa602b6b8aba42a675613412
10,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,1,0.93989271,20,19,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,2,0.95535266,40,38,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,3,0.93749082,57,53,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,4,0.95405400,82,78,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_a,5,0.95003438,97,92,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,1,0.95621312,20,20,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,2,0.96126509,40,40,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,3,0.95955998,57,56,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,4,0.96218550,82,81,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,original__paraphrase_b,5,0.96290839,97,96,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,1,0.92785841,19,20,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,2,0.94305974,38,40,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,3,0.93910539,53,56,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,4,0.95027828,78,81,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
10,sentence-transformers/all-MiniLM-L6-v2,paraphrase_a__paraphrase_b,5,0.94358945,92,96,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,1,0.95244402,20,19,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,2,0.93102139,40,38,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,3,0.92028272,57,53,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,4,0.92213106,82,78,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_a,5,0.93167484,97,92,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,1,0.95597887,20,20,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,2,0.92929691,40,40,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,3,0.95662051,57,56,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,4,0.94875300,82,81,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,original__paraphrase_b,5,0.94955134,97,96,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,1,0.95822442,19,20,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,2,0.93359333,38,40,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,3,0.92873240,53,56,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,4,0.92655182,78,81,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
11,Qwen/Qwen3-Embedding-0.6B,paraphrase_a__paraphrase_b,5,0.93801796,92,96,70eba9de864a7a08faeef79e3f2580afd96c758b3c2fca0e544dd51cdf924f57
