ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
59,qwen2.5-1.5b,python,zero,0-shot,BASE vs REASONING,0.75,1.0,1.0,1.0
60,qwen2.5-1.5b,python,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
61,qwen2.5-32b,python,naive,3-shot,BASE vs STRUCT,2.0,1.0,1.0,1.0
62,qwen2.5-32b,python,naive,3-shot,BASE vs ROBUST,3.5,0.125,0.25,0.16667
63,qwen2.5-32b,python,naive,3-shot,BASE vs REASONING,4.0,0.07031,0.21094,0.14062
64,qwen2.5-32b,python,naive,3-shot,BASE vs EDGE,9.0,0.00781,0.03125,0.03125
65,qwen2.5-32b,python,retrieval,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
66,qwen2.5-32b,python,retrieval,3-shot,BASE vs ROBUST,1.25,1.0,1.0,1.0
67,qwen2.5-32b,python,retrieval,3-shot,BASE vs REASONING,1.5,0.72656,1.0,1.0
68,qwen2.5-32b,python,retrieval,3-shot,BASE vs EDGE,1.5,0.72656,1.0,1.0
69,qwen2.5-32b,python,zero,0-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
70,qwen2.5-32b,python,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
71,qwen2.5-32b,python,zero,0-shot,BASE vs REASONING,1.5,1.0,1.0,1.0
72,qwen2.5-32b,python,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
73,qwen2.5-7b,python,naive,3-shot,BASE vs STRUCT,3.0,0.5,1.0,0.6875
74,qwen2.5-7b,python,naive,3-shot,BASE vs ROBUST,1.667,0.6875,1.0,0.6875
75,qwen2.5-7b,python,naive,3-shot,BASE vs REASONING,1.667,0.6875,1.0,0.6875
76,qwen2.5-7b,python,naive,3-shot,BASE vs EDGE,1.667,0.6875,1.0,0.6875
77,qwen2.5-7b,python,retrieval,3-shot,BASE vs STRUCT,5.0,0.125,0.125,0.125
78,qwen2.5-7b,python,retrieval,3-shot,BASE vs ROBUST,6.0,0.0625,0.125,0.08333
79,qwen2.5-7b,python,retrieval,3-shot,BASE vs REASONING,7.0,0.03125,0.09375,0.0625
80,qwen2.5-7b,python,retrieval,3-shot,BASE vs EDGE,8.0,0.01562,0.0625,0.0625
81,qwen2.5-7b,python,zero,0-shot,BASE vs STRUCT,2.0,1.0,1.0,1.0
82,qwen2.5-7b,python,zero,0-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
83,qwen2.5-7b,python,zero,0-shot,BASE vs REASONING,2.0,0.625,1.0,1.0
84,qwen2.5-7b,python,zero,0-shot,BASE vs EDGE,2.5,0.375,1.0,1.0
