ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
37,gpt-20b,java,naive,3-shot,BASE vs STRUCT,2.0,0.45312,1.0,0.72656
38,gpt-20b,java,naive,3-shot,BASE vs ROBUST,0.5,0.625,1.0,0.72656
39,gpt-20b,java,naive,3-shot,BASE vs REASONING,0.6,0.6875,1.0,0.72656
40,gpt-20b,java,naive,3-shot,BASE vs EDGE,0.667,0.72656,1.0,0.72656
41,gpt-20b,java,retrieval,3-shot,BASE vs STRUCT,5.0,0.125,0.5,0.4375
42,gpt-20b,java,retrieval,3-shot,BASE vs ROBUST,2.0,0.625,1.0,0.83333
43,gpt-20b,java,retrieval,3-shot,BASE vs REASONING,1.5,1.0,1.0,1.0
44,gpt-20b,java,retrieval,3-shot,BASE vs EDGE,3.0,0.21875,0.65625,0.4375
45,gpt-20b,java,zero,0-shot,BASE vs STRUCT,2.0,0.625,1.0,0.625
46,gpt-20b,java,zero,0-shot,BASE vs ROBUST,2.0,0.625,1.0,0.625
47,gpt-20b,java,zero,0-shot,BASE vs REASONING,4.0,0.25,0.875,0.5
48,gpt-20b,java,zero,0-shot,BASE vs EDGE,3.0,0.21875,0.875,0.5
49,qwen2.5-1.5b,java,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
50,qwen2.5-1.5b,java,naive,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
51,qwen2.5-1.5b,java,naive,3-shot,BASE vs REASONING,1.5,1.0,1.0,1.0
52,qwen2.5-1.5b,java,naive,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
53,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs STRUCT,5.0,0.125,0.5,0.33333
54,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs ROBUST,4.0,0.25,0.75,0.33333
55,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs REASONING,4.0,0.25,0.75,0.33333
56,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs EDGE,2.5,0.375,0.75,0.375
57,qwen2.5-1.5b,java,zero,0-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
58,qwen2.5-1.5b,java,zero,0-shot,BASE vs ROBUST,0.8,1.0,1.0,1.0
59,qwen2.5-1.5b,java,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
60,qwen2.5-1.5b,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
61,qwen2.5-32b,java,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
62,qwen2.5-32b,java,naive,3-shot,BASE vs ROBUST,2.0,1.0,1.0,1.0
63,qwen2.5-32b,java,naive,3-shot,BASE vs REASONING,2.0,1.0,1.0,1.0
64,qwen2.5-32b,java,naive,3-shot,BASE vs EDGE,3.0,0.5,1.0,1.0
65,qwen2.5-32b,java,retrieval,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
66,qwen2.5-32b,java,retrieval,3-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
67,qwen2.5-32b,java,retrieval,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
68,qwen2.5-32b,java,retrieval,3-shot,BASE vs EDGE,2.0,1.0,1.0,1.0
69,qwen2.5-32b,java,zero,0-shot,BASE vs STRUCT,2.0,1.0,1.0,1.0
70,qwen2.5-32b,java,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
71,qwen2.5-32b,java,zero,0-shot,BASE vs REASONING,0.667,1.0,1.0,1.0
72,qwen2.5-32b,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
73,qwen2.5-7b,java,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
74,qwen2.5-7b,java,naive,3-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
75,qwen2.5-7b,java,naive,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
76,qwen2.5-7b,java,naive,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
77,qwen2.5-7b,java,retrieval,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
78,qwen2.5-7b,java,retrieval,3-shot,BASE vs ROBUST,0.333,0.5,1.0,1.0
79,qwen2.5-7b,java,retrieval,3-shot,BASE vs REASONING,0.5,1.0,1.0,1.0
80,qwen2.5-7b,java,retrieval,3-shot,BASE vs EDGE,0.5,1.0,1.0,1.0
81,qwen2.5-7b,java,zero,0-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
82,qwen2.5-7b,java,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
83,qwen2.5-7b,java,zero,0-shot,BASE vs REASONING,0.333,0.5,1.0,1.0
84,qwen2.5-7b,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
