ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
45,qwen2.5-7b,python,retrieval,3-shot,BASE vs STRUCT,0.6,0.6875,1.0,1.0
46,qwen2.5-7b,python,retrieval,3-shot,BASE vs ROBUST,1.167,1.0,1.0,1.0
47,qwen2.5-7b,python,retrieval,3-shot,BASE vs REASONING,1.75,0.50781,1.0,1.0
48,qwen2.5-7b,python,retrieval,3-shot,BASE vs EDGE,1.2,1.0,1.0,1.0
49,qwen2.5-1.5b,python,zero,0-shot,BASE vs STRUCT,0.5,0.625,0.625,0.625
50,qwen2.5-1.5b,python,zero,0-shot,BASE vs ROBUST,0.375,0.04139,0.12417,0.06997
51,qwen2.5-1.5b,python,zero,0-shot,BASE vs REASONING,0.412,0.05248,0.12417,0.06997
52,qwen2.5-1.5b,python,zero,0-shot,BASE vs EDGE,0.3,0.00661,0.02644,0.02644
53,qwen2.5-32b,python,zero,0-shot,BASE vs STRUCT,2.25,0.22656,0.90625,0.8479
54,qwen2.5-32b,python,zero,0-shot,BASE vs ROBUST,0.778,0.79053,1.0,1.0
55,qwen2.5-32b,python,zero,0-shot,BASE vs REASONING,0.875,1.0,1.0,1.0
56,qwen2.5-32b,python,zero,0-shot,BASE vs EDGE,0.6,0.42395,1.0,0.8479
57,gpt-20b,python,retrieval,3-shot,BASE vs STRUCT,1.143,1.0,1.0,1.0
58,gpt-20b,python,retrieval,3-shot,BASE vs ROBUST,1.833,0.30176,0.90527,0.60352
59,gpt-20b,python,retrieval,3-shot,BASE vs REASONING,1.875,0.18925,0.75699,0.60352
60,gpt-20b,python,retrieval,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
61,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs STRUCT,0.25,0.25,1.0,0.72656
62,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs ROBUST,0.6,0.6875,1.0,0.72656
63,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs REASONING,0.6,0.6875,1.0,0.72656
64,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs EDGE,0.667,0.72656,1.0,0.72656
65,codellama-34b,python,zero,0-shot,BASE vs STRUCT,0.889,1.0,1.0,1.0
66,codellama-34b,python,zero,0-shot,BASE vs ROBUST,1.143,1.0,1.0,1.0
67,codellama-34b,python,zero,0-shot,BASE vs REASONING,0.917,1.0,1.0,1.0
68,codellama-34b,python,zero,0-shot,BASE vs EDGE,0.818,0.81453,1.0,1.0
69,qwen2.5-7b,python,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
70,qwen2.5-7b,python,naive,3-shot,BASE vs ROBUST,1.333,1.0,1.0,1.0
71,qwen2.5-7b,python,naive,3-shot,BASE vs REASONING,2.0,0.34375,1.0,1.0
72,qwen2.5-7b,python,naive,3-shot,BASE vs EDGE,1.6,0.54883,1.0,1.0
73,qwen2.5-32b,python,retrieval,3-shot,BASE vs STRUCT,7.0,0.03125,0.125,0.125
74,qwen2.5-32b,python,retrieval,3-shot,BASE vs ROBUST,1.6,0.54883,1.0,1.0
75,qwen2.5-32b,python,retrieval,3-shot,BASE vs REASONING,1.167,1.0,1.0,1.0
76,qwen2.5-32b,python,retrieval,3-shot,BASE vs EDGE,0.875,1.0,1.0,1.0
77,codellama-34b,python,retrieval,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
78,codellama-34b,python,retrieval,3-shot,BASE vs ROBUST,0.75,0.77441,1.0,1.0
79,codellama-34b,python,retrieval,3-shot,BASE vs REASONING,0.667,0.58105,1.0,1.0
80,codellama-34b,python,retrieval,3-shot,BASE vs EDGE,0.667,0.58105,1.0,1.0
81,qwen2.5-1.5b,python,naive,3-shot,BASE vs STRUCT,0.5,0.625,1.0,0.625
82,qwen2.5-1.5b,python,naive,3-shot,BASE vs ROBUST,0.4,0.375,1.0,0.60417
83,qwen2.5-1.5b,python,naive,3-shot,BASE vs REASONING,0.4,0.375,1.0,0.60417
84,qwen2.5-1.5b,python,naive,3-shot,BASE vs EDGE,0.5,0.45312,1.0,0.60417
85,codellama-13b,python,zero,0-shot,BASE vs STRUCT,1.667,0.6875,1.0,0.96875
86,codellama-13b,python,zero,0-shot,BASE vs ROBUST,2.0,0.45312,1.0,0.96875
87,codellama-13b,python,zero,0-shot,BASE vs REASONING,0.667,0.72656,1.0,0.96875
88,codellama-13b,python,zero,0-shot,BASE vs EDGE,1.2,1.0,1.0,1.0
89,qwen3.8-27b-original,python,zero,0-shot,BASE vs STRUCT,0.667,0.72656,1.0,1.0
90,qwen3.8-27b-original,python,zero,0-shot,BASE vs ROBUST,0.889,1.0,1.0,1.0
91,qwen3.8-27b-original,python,zero,0-shot,BASE vs REASONING,1.25,0.80362,1.0,1.0
92,qwen3.8-27b-original,python,zero,0-shot,BASE vs EDGE,1.222,0.81453,1.0,1.0
