ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
48,codellama-13b,java,retrieval,3-shot,BASE vs EDGE,0.333,0.10938,0.32812,0.21875
49,gpt-20b,java,naive,3-shot,BASE vs STRUCT,2.333,0.00552,0.00552,0.00552
50,gpt-20b,java,naive,3-shot,BASE vs ROBUST,5.0,0.0,1e-05,0.0
51,gpt-20b,java,naive,3-shot,BASE vs REASONING,4.875,0.0,1e-05,0.0
52,gpt-20b,java,naive,3-shot,BASE vs EDGE,5.75,0.0,0.0,0.0
53,qwen3.8-27b-original,java,zero,0-shot,BASE vs STRUCT,4.0,0.07031,0.11572,0.07031
54,qwen3.8-27b-original,java,zero,0-shot,BASE vs ROBUST,3.0,0.05737,0.11572,0.07031
55,qwen3.8-27b-original,java,zero,0-shot,BASE vs REASONING,3.667,0.03857,0.11572,0.07031
56,qwen3.8-27b-original,java,zero,0-shot,BASE vs EDGE,3.5,0.02127,0.08508,0.07031
57,qwen2.5-1.5b,java,zero,0-shot,BASE vs STRUCT,1.6,0.54883,0.54883,0.54883
58,qwen2.5-1.5b,java,zero,0-shot,BASE vs ROBUST,0.455,0.04277,0.12832,0.08555
59,qwen2.5-1.5b,java,zero,0-shot,BASE vs REASONING,0.364,0.01254,0.05016,0.05016
60,qwen2.5-1.5b,java,zero,0-shot,BASE vs EDGE,0.55,0.13605,0.27209,0.18139
61,qwen2.5-1.5b,java,naive,3-shot,BASE vs STRUCT,1.333,0.77441,1.0,0.77441
62,qwen2.5-1.5b,java,naive,3-shot,BASE vs ROBUST,0.667,0.58105,1.0,0.77441
63,qwen2.5-1.5b,java,naive,3-shot,BASE vs REASONING,0.583,0.33231,1.0,0.77441
64,qwen2.5-1.5b,java,naive,3-shot,BASE vs EDGE,0.636,0.4545,1.0,0.77441
65,codellama-34b,java,retrieval,3-shot,BASE vs STRUCT,0.5,0.21011,0.84045,0.42023
66,codellama-34b,java,retrieval,3-shot,BASE vs ROBUST,0.75,0.77441,0.909,0.77441
67,codellama-34b,java,retrieval,3-shot,BASE vs REASONING,0.5,0.21011,0.84045,0.42023
68,codellama-34b,java,retrieval,3-shot,BASE vs EDGE,0.636,0.4545,0.909,0.606
69,qwen2.5-7b,java,zero,0-shot,BASE vs STRUCT,1.5,0.72656,1.0,1.0
70,qwen2.5-7b,java,zero,0-shot,BASE vs ROBUST,1.5,0.48068,1.0,1.0
71,qwen2.5-7b,java,zero,0-shot,BASE vs REASONING,1.167,0.83882,1.0,1.0
72,qwen2.5-7b,java,zero,0-shot,BASE vs EDGE,0.929,1.0,1.0,1.0
73,codellama-34b,java,zero,0-shot,BASE vs STRUCT,0.636,0.4545,1.0,1.0
74,codellama-34b,java,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
75,codellama-34b,java,zero,0-shot,BASE vs REASONING,0.941,1.0,1.0,1.0
76,codellama-34b,java,zero,0-shot,BASE vs EDGE,0.824,0.71107,1.0,1.0
77,codellama-7b,java,naive,3-shot,BASE vs STRUCT,0.857,1.0,1.0,1.0
78,codellama-7b,java,naive,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
79,codellama-7b,java,naive,3-shot,BASE vs REASONING,0.875,1.0,1.0,1.0
80,codellama-7b,java,naive,3-shot,BASE vs EDGE,0.778,0.79053,1.0,1.0
81,qwen2.5-32b,java,naive,3-shot,BASE vs STRUCT,12.0,0.0,0.0,0.0
82,qwen2.5-32b,java,naive,3-shot,BASE vs ROBUST,16.75,0.0,0.0,0.0
83,qwen2.5-32b,java,naive,3-shot,BASE vs REASONING,13.2,0.0,0.0,0.0
84,qwen2.5-32b,java,naive,3-shot,BASE vs EDGE,8.375,0.0,0.0,0.0
85,codellama-34b,java,naive,3-shot,BASE vs STRUCT,0.5,0.625,1.0,1.0
86,codellama-34b,java,naive,3-shot,BASE vs ROBUST,1.125,1.0,1.0,1.0
87,codellama-34b,java,naive,3-shot,BASE vs REASONING,1.222,0.81453,1.0,1.0
88,codellama-34b,java,naive,3-shot,BASE vs EDGE,0.9,1.0,1.0,1.0
89,qwen2.5-32b,java,zero,0-shot,BASE vs STRUCT,3.0,0.10938,0.32812,0.21875
90,qwen2.5-32b,java,zero,0-shot,BASE vs ROBUST,3.0,0.05737,0.22949,0.21875
91,qwen2.5-32b,java,zero,0-shot,BASE vs REASONING,1.714,0.33231,0.66461,0.44307
92,qwen2.5-32b,java,zero,0-shot,BASE vs EDGE,1.429,0.60724,0.66461,0.60724
