ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
38,codellama-7b,python,zero,0-shot,BASE vs ROBUST,1.4,0.52347,1.0,0.54126
39,codellama-7b,python,zero,0-shot,BASE vs REASONING,2.333,0.0357,0.14279,0.14279
40,codellama-7b,python,zero,0-shot,BASE vs EDGE,2.0,0.1338,0.4014,0.2676
41,codellama-7b,python,retrieval,3-shot,BASE vs STRUCT,1.5,0.40487,1.0,0.83882
42,codellama-7b,python,retrieval,3-shot,BASE vs ROBUST,1.3,0.66362,1.0,0.83882
43,codellama-7b,python,retrieval,3-shot,BASE vs REASONING,1.167,0.83882,1.0,0.83882
44,codellama-7b,python,retrieval,3-shot,BASE vs EDGE,0.75,0.64761,1.0,0.83882
45,qwen2.5-7b,python,retrieval,3-shot,BASE vs STRUCT,1.143,1.0,1.0,1.0
46,qwen2.5-7b,python,retrieval,3-shot,BASE vs ROBUST,1.1,1.0,1.0,1.0
47,qwen2.5-7b,python,retrieval,3-shot,BASE vs REASONING,1.6,0.30746,1.0,0.91652
48,qwen2.5-7b,python,retrieval,3-shot,BASE vs EDGE,1.385,0.45826,1.0,0.91652
49,qwen2.5-1.5b,python,zero,0-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
50,qwen2.5-1.5b,python,zero,0-shot,BASE vs ROBUST,0.533,0.18925,0.75699,0.75699
51,qwen2.5-1.5b,python,zero,0-shot,BASE vs REASONING,0.917,1.0,1.0,1.0
52,qwen2.5-1.5b,python,zero,0-shot,BASE vs EDGE,0.923,1.0,1.0,1.0
53,qwen2.5-32b,python,zero,0-shot,BASE vs STRUCT,1.8,0.3877,1.0,0.77539
54,qwen2.5-32b,python,zero,0-shot,BASE vs ROBUST,0.818,0.81453,1.0,0.81453
55,qwen2.5-32b,python,zero,0-shot,BASE vs REASONING,0.769,0.66362,1.0,0.81453
56,qwen2.5-32b,python,zero,0-shot,BASE vs EDGE,0.538,0.23788,0.95154,0.77539
57,gpt-20b,python,retrieval,3-shot,BASE vs STRUCT,0.875,1.0,1.0,1.0
58,gpt-20b,python,retrieval,3-shot,BASE vs ROBUST,1.091,1.0,1.0,1.0
59,gpt-20b,python,retrieval,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
60,gpt-20b,python,retrieval,3-shot,BASE vs EDGE,1.3,0.66362,1.0,1.0
61,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs STRUCT,1.1,1.0,1.0,1.0
62,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs ROBUST,0.846,0.83181,1.0,1.0
63,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs REASONING,0.818,0.81453,1.0,1.0
64,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs EDGE,0.727,0.62906,1.0,1.0
65,codellama-34b,python,zero,0-shot,BASE vs STRUCT,0.667,0.40487,1.0,0.94626
66,codellama-34b,python,zero,0-shot,BASE vs ROBUST,0.737,0.47313,1.0,0.94626
67,codellama-34b,python,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
68,codellama-34b,python,zero,0-shot,BASE vs EDGE,1.1,1.0,1.0,1.0
69,qwen2.5-7b,python,naive,3-shot,BASE vs STRUCT,1.083,1.0,1.0,1.0
70,qwen2.5-7b,python,naive,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
71,qwen2.5-7b,python,naive,3-shot,BASE vs REASONING,1.25,0.80362,1.0,1.0
72,qwen2.5-7b,python,naive,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
73,qwen2.5-32b,python,retrieval,3-shot,BASE vs STRUCT,2.75,0.09229,0.36914,0.36914
74,qwen2.5-32b,python,retrieval,3-shot,BASE vs ROBUST,1.857,0.23788,0.71365,0.47577
75,qwen2.5-32b,python,retrieval,3-shot,BASE vs REASONING,1.3,0.66362,1.0,0.88483
76,qwen2.5-32b,python,retrieval,3-shot,BASE vs EDGE,1.111,1.0,1.0,1.0
77,codellama-34b,python,retrieval,3-shot,BASE vs STRUCT,0.692,0.50344,1.0,0.85554
78,codellama-34b,python,retrieval,3-shot,BASE vs ROBUST,1.273,0.67764,1.0,0.85554
79,codellama-34b,python,retrieval,3-shot,BASE vs REASONING,1.133,0.85554,1.0,0.85554
80,codellama-34b,python,retrieval,3-shot,BASE vs EDGE,0.733,0.54126,1.0,0.85554
81,qwen2.5-1.5b,python,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
82,qwen2.5-1.5b,python,naive,3-shot,BASE vs ROBUST,1.182,0.83181,1.0,1.0
83,qwen2.5-1.5b,python,naive,3-shot,BASE vs REASONING,0.75,0.5572,1.0,1.0
84,qwen2.5-1.5b,python,naive,3-shot,BASE vs EDGE,0.933,1.0,1.0,1.0
85,codellama-13b,python,zero,0-shot,BASE vs STRUCT,1.143,0.85055,1.0,0.85055
86,codellama-13b,python,zero,0-shot,BASE vs ROBUST,1.455,0.42436,1.0,0.61101
87,codellama-13b,python,zero,0-shot,BASE vs REASONING,0.571,0.26318,1.0,0.61101
88,codellama-13b,python,zero,0-shot,BASE vs EDGE,1.385,0.45826,1.0,0.61101
89,qwen3.8-27b-original,python,zero,0-shot,BASE vs STRUCT,1.143,0.85055,1.0,0.85055
90,qwen3.8-27b-original,python,zero,0-shot,BASE vs ROBUST,1.538,0.28104,1.0,0.64913
91,qwen3.8-27b-original,python,zero,0-shot,BASE vs REASONING,1.333,0.48685,1.0,0.64913
92,qwen3.8-27b-original,python,zero,0-shot,BASE vs EDGE,1.5,0.34493,1.0,0.64913
