ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
29,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs STRUCT,1.824,0.05408,0.05408,0.05408
30,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs ROBUST,2.267,0.00794,0.01589,0.01059
31,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs REASONING,2.692,0.00164,0.00492,0.00328
32,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs EDGE,5.222,0.0,0.0,0.0
33,qwen2.5-7b,java,retrieval,3-shot,BASE vs STRUCT,1.438,0.32401,0.32401,0.32401
34,qwen2.5-7b,java,retrieval,3-shot,BASE vs ROBUST,2.333,0.01385,0.04156,0.02771
35,qwen2.5-7b,java,retrieval,3-shot,BASE vs REASONING,2.467,0.0026,0.01041,0.01041
36,qwen2.5-7b,java,retrieval,3-shot,BASE vs EDGE,1.688,0.11728,0.23455,0.15637
37,codellama-13b,java,naive,3-shot,BASE vs STRUCT,0.815,0.56006,1.0,0.75523
38,codellama-13b,java,naive,3-shot,BASE vs ROBUST,1.211,0.63583,1.0,0.75523
39,codellama-13b,java,naive,3-shot,BASE vs REASONING,0.87,0.75523,1.0,0.75523
40,codellama-13b,java,naive,3-shot,BASE vs EDGE,0.731,0.36038,1.0,0.75523
41,codellama-13b,java,zero,0-shot,BASE vs STRUCT,1.238,0.55148,1.0,0.75756
42,codellama-13b,java,zero,0-shot,BASE vs ROBUST,1.143,0.76079,1.0,0.76079
43,codellama-13b,java,zero,0-shot,BASE vs REASONING,1.217,0.56817,1.0,0.75756
44,codellama-13b,java,zero,0-shot,BASE vs EDGE,1.333,0.48685,1.0,0.75756
45,codellama-13b,java,retrieval,3-shot,BASE vs STRUCT,0.909,0.87463,1.0,0.87463
46,codellama-13b,java,retrieval,3-shot,BASE vs ROBUST,0.895,0.86417,1.0,0.87463
47,codellama-13b,java,retrieval,3-shot,BASE vs REASONING,1.25,0.54238,1.0,0.87463
48,codellama-13b,java,retrieval,3-shot,BASE vs EDGE,1.412,0.33678,1.0,0.87463
49,gpt-20b,java,naive,3-shot,BASE vs STRUCT,1.45,0.24296,0.24296,0.24296
50,gpt-20b,java,naive,3-shot,BASE vs ROBUST,2.118,0.01097,0.04389,0.04389
51,gpt-20b,java,naive,3-shot,BASE vs REASONING,1.632,0.1114,0.22281,0.14854
52,gpt-20b,java,naive,3-shot,BASE vs EDGE,1.938,0.0357,0.10709,0.0714
53,qwen3.8-27b-original,java,zero,0-shot,BASE vs STRUCT,1.615,0.21533,0.86131,0.40994
54,qwen3.8-27b-original,java,zero,0-shot,BASE vs ROBUST,1.6,0.30746,0.86131,0.40994
55,qwen3.8-27b-original,java,zero,0-shot,BASE vs REASONING,1.615,0.21533,0.86131,0.40994
56,qwen3.8-27b-original,java,zero,0-shot,BASE vs EDGE,1.167,0.83882,0.86131,0.83882
57,qwen2.5-1.5b,java,zero,0-shot,BASE vs STRUCT,0.833,0.7201,1.0,0.74926
58,qwen2.5-1.5b,java,zero,0-shot,BASE vs ROBUST,0.667,0.29621,1.0,0.74926
59,qwen2.5-1.5b,java,zero,0-shot,BASE vs REASONING,0.864,0.74926,1.0,0.74926
60,qwen2.5-1.5b,java,zero,0-shot,BASE vs EDGE,0.792,0.53271,1.0,0.74926
61,qwen2.5-1.5b,java,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
62,qwen2.5-1.5b,java,naive,3-shot,BASE vs ROBUST,1.176,0.73588,1.0,1.0
63,qwen2.5-1.5b,java,naive,3-shot,BASE vs REASONING,1.105,0.87141,1.0,1.0
64,qwen2.5-1.5b,java,naive,3-shot,BASE vs EDGE,0.955,1.0,1.0,1.0
65,codellama-34b,java,retrieval,3-shot,BASE vs STRUCT,1.176,0.73588,1.0,0.73588
66,codellama-34b,java,retrieval,3-shot,BASE vs ROBUST,1.647,0.12629,0.39549,0.25258
67,codellama-34b,java,retrieval,3-shot,BASE vs REASONING,1.786,0.09887,0.39549,0.25258
68,codellama-34b,java,retrieval,3-shot,BASE vs EDGE,1.227,0.56006,1.0,0.73588
69,qwen2.5-7b,java,zero,0-shot,BASE vs STRUCT,3.25,0.0021,0.00841,0.00841
70,qwen2.5-7b,java,zero,0-shot,BASE vs ROBUST,1.389,0.34889,0.34889,0.34889
71,qwen2.5-7b,java,zero,0-shot,BASE vs REASONING,2.667,0.01067,0.03202,0.02135
72,qwen2.5-7b,java,zero,0-shot,BASE vs EDGE,1.75,0.08843,0.17686,0.11791
73,codellama-34b,java,zero,0-shot,BASE vs STRUCT,0.842,0.72833,1.0,0.84502
74,codellama-34b,java,zero,0-shot,BASE vs ROBUST,0.778,0.58466,1.0,0.84502
75,codellama-34b,java,zero,0-shot,BASE vs REASONING,0.667,0.34493,1.0,0.84502
76,codellama-34b,java,zero,0-shot,BASE vs EDGE,1.154,0.84502,1.0,0.84502
77,codellama-7b,java,naive,3-shot,BASE vs STRUCT,0.522,0.08014,0.32057,0.2429
78,codellama-7b,java,naive,3-shot,BASE vs ROBUST,0.714,0.39153,0.43065,0.39153
79,codellama-7b,java,naive,3-shot,BASE vs REASONING,0.619,0.21533,0.43065,0.2871
80,codellama-7b,java,naive,3-shot,BASE vs EDGE,0.565,0.12145,0.36435,0.2429
81,qwen2.5-32b,java,naive,3-shot,BASE vs STRUCT,4.6,0.0,0.0,0.0
82,qwen2.5-32b,java,naive,3-shot,BASE vs ROBUST,5.0,0.0,0.0,0.0
83,qwen2.5-32b,java,naive,3-shot,BASE vs REASONING,5.3,0.0,0.0,0.0
84,qwen2.5-32b,java,naive,3-shot,BASE vs EDGE,5.083,0.0,0.0,0.0
85,codellama-34b,java,naive,3-shot,BASE vs STRUCT,1.042,1.0,1.0,1.0
86,codellama-34b,java,naive,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
87,codellama-34b,java,naive,3-shot,BASE vs REASONING,0.944,1.0,1.0,1.0
88,codellama-34b,java,naive,3-shot,BASE vs EDGE,1.045,1.0,1.0,1.0
89,qwen2.5-32b,java,zero,0-shot,BASE vs STRUCT,0.467,0.11532,0.46127,0.46127
90,qwen2.5-32b,java,zero,0-shot,BASE vs ROBUST,1.545,0.32694,0.98082,0.65388
91,qwen2.5-32b,java,zero,0-shot,BASE vs REASONING,1.231,0.70111,1.0,0.93481
92,qwen2.5-32b,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
