ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
65,qwen2.5-32b,java,retrieval,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
66,qwen2.5-32b,java,retrieval,3-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
67,qwen2.5-32b,java,retrieval,3-shot,BASE vs REASONING,2.0,1.0,1.0,1.0
68,qwen2.5-32b,java,retrieval,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
69,qwen2.5-32b,java,zero,0-shot,BASE vs STRUCT,2.0,1.0,1.0,1.0
70,qwen2.5-32b,java,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
71,qwen2.5-32b,java,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
72,qwen2.5-32b,java,zero,0-shot,BASE vs EDGE,0.333,0.5,1.0,1.0
73,qwen2.5-7b,java,naive,3-shot,BASE vs STRUCT,1.5,1.0,1.0,1.0
74,qwen2.5-7b,java,naive,3-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
75,qwen2.5-7b,java,naive,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
76,qwen2.5-7b,java,naive,3-shot,BASE vs EDGE,0.667,1.0,1.0,1.0
77,qwen2.5-7b,java,retrieval,3-shot,BASE vs STRUCT,5.0,0.125,0.5,0.5
78,qwen2.5-7b,java,retrieval,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
79,qwen2.5-7b,java,retrieval,3-shot,BASE vs REASONING,0.5,1.0,1.0,1.0
80,qwen2.5-7b,java,retrieval,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
81,qwen2.5-7b,java,zero,0-shot,BASE vs STRUCT,1.5,1.0,1.0,1.0
82,qwen2.5-7b,java,zero,0-shot,BASE vs ROBUST,2.0,1.0,1.0,1.0
83,qwen2.5-7b,java,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
84,qwen2.5-7b,java,zero,0-shot,BASE vs EDGE,1.5,1.0,1.0,1.0
85,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs STRUCT,0.2,0.125,0.5,0.5
86,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs ROBUST,0.667,1.0,1.0,1.0
87,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs REASONING,0.667,1.0,1.0,1.0
88,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs EDGE,0.667,1.0,1.0,1.0
89,qwen3.8-27b-original,java,zero,0-shot,BASE vs STRUCT,0.5,0.625,1.0,1.0
90,qwen3.8-27b-original,java,zero,0-shot,BASE vs ROBUST,0.5,0.625,1.0,1.0
91,qwen3.8-27b-original,java,zero,0-shot,BASE vs REASONING,0.75,1.0,1.0,1.0
92,qwen3.8-27b-original,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
