ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
36,codellama-7b,java,zero,0-shot,BASE vs EDGE,0.8,1.0,1.0,1.0
37,gpt-20b,java,naive,3-shot,BASE vs STRUCT,0.667,1.0,1.0,1.0
38,gpt-20b,java,naive,3-shot,BASE vs ROBUST,0.2,0.125,0.5,0.5
39,gpt-20b,java,naive,3-shot,BASE vs REASONING,0.667,1.0,1.0,1.0
40,gpt-20b,java,naive,3-shot,BASE vs EDGE,0.4,0.375,1.0,0.75
41,gpt-20b,java,retrieval,3-shot,BASE vs STRUCT,1.5,0.72656,1.0,0.96875
42,gpt-20b,java,retrieval,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
43,gpt-20b,java,retrieval,3-shot,BASE vs REASONING,0.429,0.28906,1.0,0.96875
44,gpt-20b,java,retrieval,3-shot,BASE vs EDGE,0.667,0.72656,1.0,0.96875
45,gpt-20b,java,zero,0-shot,BASE vs STRUCT,4.0,0.25,0.75,0.5
46,gpt-20b,java,zero,0-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
47,gpt-20b,java,zero,0-shot,BASE vs REASONING,6.0,0.0625,0.25,0.25
48,gpt-20b,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
49,qwen2.5-1.5b,java,naive,3-shot,BASE vs STRUCT,0.714,0.75391,1.0,1.0
50,qwen2.5-1.5b,java,naive,3-shot,BASE vs ROBUST,0.833,1.0,1.0,1.0
51,qwen2.5-1.5b,java,naive,3-shot,BASE vs REASONING,0.571,0.50781,1.0,1.0
52,qwen2.5-1.5b,java,naive,3-shot,BASE vs EDGE,0.667,0.58105,1.0,1.0
53,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs STRUCT,0.667,0.58105,1.0,1.0
54,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs ROBUST,0.5,0.34375,1.0,1.0
55,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs REASONING,1.167,1.0,1.0,1.0
56,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
57,qwen2.5-1.5b,java,zero,0-shot,BASE vs STRUCT,1.25,0.80362,1.0,1.0
58,qwen2.5-1.5b,java,zero,0-shot,BASE vs ROBUST,0.6,0.42395,1.0,0.8479
59,qwen2.5-1.5b,java,zero,0-shot,BASE vs REASONING,0.875,1.0,1.0,1.0
60,qwen2.5-1.5b,java,zero,0-shot,BASE vs EDGE,0.3,0.06543,0.26172,0.26172
61,qwen2.5-32b,java,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
62,qwen2.5-32b,java,naive,3-shot,BASE vs ROBUST,2.0,0.625,1.0,1.0
63,qwen2.5-32b,java,naive,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
64,qwen2.5-32b,java,naive,3-shot,BASE vs EDGE,1.333,1.0,1.0,1.0
65,qwen2.5-32b,java,retrieval,3-shot,BASE vs STRUCT,0.667,1.0,1.0,1.0
66,qwen2.5-32b,java,retrieval,3-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
67,qwen2.5-32b,java,retrieval,3-shot,BASE vs REASONING,1.5,1.0,1.0,1.0
68,qwen2.5-32b,java,retrieval,3-shot,BASE vs EDGE,0.667,1.0,1.0,1.0
69,qwen2.5-32b,java,zero,0-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
70,qwen2.5-32b,java,zero,0-shot,BASE vs ROBUST,3.0,0.21875,0.875,0.875
71,qwen2.5-32b,java,zero,0-shot,BASE vs REASONING,1.333,1.0,1.0,1.0
72,qwen2.5-32b,java,zero,0-shot,BASE vs EDGE,0.5,0.625,1.0,1.0
73,qwen2.5-7b,java,naive,3-shot,BASE vs STRUCT,1.25,1.0,1.0,1.0
74,qwen2.5-7b,java,naive,3-shot,BASE vs ROBUST,2.0,0.625,1.0,1.0
75,qwen2.5-7b,java,naive,3-shot,BASE vs REASONING,0.714,0.75391,1.0,1.0
76,qwen2.5-7b,java,naive,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
77,qwen2.5-7b,java,retrieval,3-shot,BASE vs STRUCT,2.333,0.28906,1.0,0.5
78,qwen2.5-7b,java,retrieval,3-shot,BASE vs ROBUST,1.25,1.0,1.0,1.0
79,qwen2.5-7b,java,retrieval,3-shot,BASE vs REASONING,2.333,0.28906,1.0,0.5
80,qwen2.5-7b,java,retrieval,3-shot,BASE vs EDGE,2.5,0.375,1.0,0.5
81,qwen2.5-7b,java,zero,0-shot,BASE vs STRUCT,0.5,0.45312,1.0,1.0
82,qwen2.5-7b,java,zero,0-shot,BASE vs ROBUST,1.333,1.0,1.0,1.0
83,qwen2.5-7b,java,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
84,qwen2.5-7b,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
85,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs STRUCT,0.667,0.72656,1.0,0.96875
86,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs ROBUST,0.571,0.50781,1.0,0.96875
87,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs REASONING,0.571,0.50781,1.0,0.96875
88,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs EDGE,0.75,1.0,1.0,1.0
89,qwen3.8-27b-original,java,zero,0-shot,BASE vs STRUCT,0.75,1.0,1.0,1.0
90,qwen3.8-27b-original,java,zero,0-shot,BASE vs ROBUST,0.75,1.0,1.0,1.0
91,qwen3.8-27b-original,java,zero,0-shot,BASE vs REASONING,1.667,0.6875,1.0,1.0
92,qwen3.8-27b-original,java,zero,0-shot,BASE vs EDGE,0.833,1.0,1.0,1.0
