ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
33,codellama-7b,python,zero,0-shot,BASE vs STRUCT,0.571,0.50781,1.0,1.0
34,codellama-7b,python,zero,0-shot,BASE vs ROBUST,0.75,1.0,1.0,1.0
35,codellama-7b,python,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
36,codellama-7b,python,zero,0-shot,BASE vs EDGE,0.571,0.50781,1.0,1.0
37,gpt-20b,python,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
38,gpt-20b,python,naive,3-shot,BASE vs ROBUST,0.833,1.0,1.0,1.0
39,gpt-20b,python,naive,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
40,gpt-20b,python,naive,3-shot,BASE vs EDGE,1.2,1.0,1.0,1.0
41,gpt-20b,python,retrieval,3-shot,BASE vs STRUCT,0.714,0.75391,1.0,1.0
42,gpt-20b,python,retrieval,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
43,gpt-20b,python,retrieval,3-shot,BASE vs REASONING,1.25,1.0,1.0,1.0
44,gpt-20b,python,retrieval,3-shot,BASE vs EDGE,0.833,1.0,1.0,1.0
45,gpt-20b,python,zero,0-shot,BASE vs STRUCT,2.0,0.625,1.0,1.0
46,gpt-20b,python,zero,0-shot,BASE vs ROBUST,0.714,0.75391,1.0,1.0
47,gpt-20b,python,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
48,gpt-20b,python,zero,0-shot,BASE vs EDGE,0.833,1.0,1.0,1.0
49,qwen2.5-1.5b,python,naive,3-shot,BASE vs STRUCT,0.667,0.72656,1.0,1.0
50,qwen2.5-1.5b,python,naive,3-shot,BASE vs ROBUST,1.167,1.0,1.0,1.0
51,qwen2.5-1.5b,python,naive,3-shot,BASE vs REASONING,1.333,1.0,1.0,1.0
52,qwen2.5-1.5b,python,naive,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
53,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs STRUCT,0.8,1.0,1.0,1.0
54,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs ROBUST,0.6,0.6875,1.0,1.0
55,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
56,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs EDGE,1.5,0.72656,1.0,1.0
57,qwen2.5-1.5b,python,zero,0-shot,BASE vs STRUCT,2.667,0.17969,0.71875,0.60417
58,qwen2.5-1.5b,python,zero,0-shot,BASE vs ROBUST,1.8,0.3877,1.0,0.60417
59,qwen2.5-1.5b,python,zero,0-shot,BASE vs REASONING,1.5,0.72656,1.0,0.72656
60,qwen2.5-1.5b,python,zero,0-shot,BASE vs EDGE,2.0,0.45312,1.0,0.60417
61,qwen2.5-32b,python,naive,3-shot,BASE vs STRUCT,2.0,0.34375,1.0,0.6875
62,qwen2.5-32b,python,naive,3-shot,BASE vs ROBUST,0.714,0.75391,1.0,1.0
63,qwen2.5-32b,python,naive,3-shot,BASE vs REASONING,0.857,1.0,1.0,1.0
64,qwen2.5-32b,python,naive,3-shot,BASE vs EDGE,0.5,0.34375,1.0,0.6875
65,qwen2.5-32b,python,retrieval,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
66,qwen2.5-32b,python,retrieval,3-shot,BASE vs ROBUST,0.857,1.0,1.0,1.0
67,qwen2.5-32b,python,retrieval,3-shot,BASE vs REASONING,0.5,0.45312,1.0,0.90625
68,qwen2.5-32b,python,retrieval,3-shot,BASE vs EDGE,0.333,0.21875,0.875,0.875
69,qwen2.5-32b,python,zero,0-shot,BASE vs STRUCT,0.667,1.0,1.0,1.0
70,qwen2.5-32b,python,zero,0-shot,BASE vs ROBUST,0.4,0.375,1.0,0.60417
71,qwen2.5-32b,python,zero,0-shot,BASE vs REASONING,0.5,0.45312,1.0,0.60417
72,qwen2.5-32b,python,zero,0-shot,BASE vs EDGE,0.429,0.28906,1.0,0.60417
73,qwen2.5-7b,python,naive,3-shot,BASE vs STRUCT,1.8,0.3877,1.0,0.77539
74,qwen2.5-7b,python,naive,3-shot,BASE vs ROBUST,1.143,1.0,1.0,1.0
75,qwen2.5-7b,python,naive,3-shot,BASE vs REASONING,2.0,0.26685,1.0,0.77539
76,qwen2.5-7b,python,naive,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
77,qwen2.5-7b,python,retrieval,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
78,qwen2.5-7b,python,retrieval,3-shot,BASE vs ROBUST,0.667,0.72656,1.0,1.0
79,qwen2.5-7b,python,retrieval,3-shot,BASE vs REASONING,1.25,1.0,1.0,1.0
80,qwen2.5-7b,python,retrieval,3-shot,BASE vs EDGE,0.5,0.45312,1.0,1.0
81,qwen2.5-7b,python,zero,0-shot,BASE vs STRUCT,0.25,0.07031,0.28125,0.28125
82,qwen2.5-7b,python,zero,0-shot,BASE vs ROBUST,0.8,1.0,1.0,1.0
83,qwen2.5-7b,python,zero,0-shot,BASE vs REASONING,0.5,0.45312,1.0,0.90625
84,qwen2.5-7b,python,zero,0-shot,BASE vs EDGE,1.25,1.0,1.0,1.0
85,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs STRUCT,1.2,1.0,1.0,1.0
86,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs ROBUST,1.8,0.3877,1.0,1.0
87,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs REASONING,0.667,0.72656,1.0,1.0
88,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs EDGE,0.75,0.77441,1.0,1.0
89,qwen3.8-27b-original,python,zero,0-shot,BASE vs STRUCT,0.625,0.54883,0.57812,0.54883
90,qwen3.8-27b-original,python,zero,0-shot,BASE vs ROBUST,0.429,0.28906,0.57812,0.38542
91,qwen3.8-27b-original,python,zero,0-shot,BASE vs REASONING,0.417,0.11847,0.47388,0.35913
92,qwen3.8-27b-original,python,zero,0-shot,BASE vs EDGE,0.455,0.17957,0.5387,0.35913
