ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
36,qwen2.5-7b,python,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
37,codellama-7b,python,zero,0-shot,BASE vs STRUCT,1.143,0.85055,0.85055,0.85055
38,codellama-7b,python,zero,0-shot,BASE vs ROBUST,1.5,0.40487,0.84312,0.53983
39,codellama-7b,python,zero,0-shot,BASE vs REASONING,2.0,0.10775,0.43101,0.43101
40,codellama-7b,python,zero,0-shot,BASE vs EDGE,1.538,0.28104,0.84312,0.53983
41,codellama-7b,python,retrieval,3-shot,BASE vs STRUCT,0.667,0.48068,1.0,0.69796
42,codellama-7b,python,retrieval,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
43,codellama-7b,python,retrieval,3-shot,BASE vs REASONING,0.714,0.52347,1.0,0.69796
44,codellama-7b,python,retrieval,3-shot,BASE vs EDGE,1.667,0.42395,1.0,0.69796
45,qwen2.5-7b,python,retrieval,3-shot,BASE vs STRUCT,1.375,0.62906,0.71365,0.62906
46,qwen2.5-7b,python,retrieval,3-shot,BASE vs ROBUST,1.714,0.33231,0.71365,0.44307
47,qwen2.5-7b,python,retrieval,3-shot,BASE vs REASONING,1.857,0.23788,0.71365,0.44307
48,qwen2.5-7b,python,retrieval,3-shot,BASE vs EDGE,2.143,0.11532,0.46127,0.44307
49,qwen2.5-1.5b,python,zero,0-shot,BASE vs STRUCT,0.667,0.40487,1.0,0.80975
50,qwen2.5-1.5b,python,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
51,qwen2.5-1.5b,python,zero,0-shot,BASE vs REASONING,0.529,0.15159,0.60636,0.60636
52,qwen2.5-1.5b,python,zero,0-shot,BASE vs EDGE,0.923,1.0,1.0,1.0
53,qwen2.5-32b,python,zero,0-shot,BASE vs STRUCT,1.8,0.3877,1.0,1.0
54,qwen2.5-32b,python,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
55,qwen2.5-32b,python,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
56,qwen2.5-32b,python,zero,0-shot,BASE vs EDGE,1.222,0.81453,1.0,1.0
57,gpt-20b,python,retrieval,3-shot,BASE vs STRUCT,1.125,1.0,1.0,1.0
58,gpt-20b,python,retrieval,3-shot,BASE vs ROBUST,1.857,0.23788,0.71365,0.47577
59,gpt-20b,python,retrieval,3-shot,BASE vs REASONING,1.667,0.42395,0.8479,0.56527
60,gpt-20b,python,retrieval,3-shot,BASE vs EDGE,2.0,0.16707,0.66827,0.47577
61,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs STRUCT,0.75,0.5572,1.0,0.5572
62,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs ROBUST,0.5,0.1338,0.5352,0.5352
63,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs REASONING,0.667,0.40487,1.0,0.53983
64,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs EDGE,0.615,0.35928,1.0,0.53983
65,codellama-34b,python,zero,0-shot,BASE vs STRUCT,1.1,1.0,1.0,1.0
66,codellama-34b,python,zero,0-shot,BASE vs ROBUST,1.444,0.50344,1.0,1.0
67,codellama-34b,python,zero,0-shot,BASE vs REASONING,0.889,1.0,1.0,1.0
68,codellama-34b,python,zero,0-shot,BASE vs EDGE,1.8,0.16864,0.67455,0.67455
69,qwen2.5-7b,python,naive,3-shot,BASE vs STRUCT,0.917,1.0,1.0,1.0
70,qwen2.5-7b,python,naive,3-shot,BASE vs ROBUST,2.0,0.21011,0.84045,0.66461
71,qwen2.5-7b,python,naive,3-shot,BASE vs REASONING,1.714,0.33231,0.99692,0.66461
72,qwen2.5-7b,python,naive,3-shot,BASE vs EDGE,1.273,0.67764,1.0,0.90352
73,qwen2.5-32b,python,retrieval,3-shot,BASE vs STRUCT,4.0,0.07031,0.21094,0.14062
74,qwen2.5-32b,python,retrieval,3-shot,BASE vs ROBUST,4.5,0.03906,0.15625,0.14062
75,qwen2.5-32b,python,retrieval,3-shot,BASE vs REASONING,2.0,0.26685,0.53369,0.35579
76,qwen2.5-32b,python,retrieval,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
77,codellama-34b,python,retrieval,3-shot,BASE vs STRUCT,0.7,0.60724,1.0,1.0
78,codellama-34b,python,retrieval,3-shot,BASE vs ROBUST,0.833,0.8238,1.0,1.0
79,codellama-34b,python,retrieval,3-shot,BASE vs REASONING,1.091,1.0,1.0,1.0
80,codellama-34b,python,retrieval,3-shot,BASE vs EDGE,0.364,0.09229,0.36914,0.36914
81,qwen2.5-1.5b,python,naive,3-shot,BASE vs STRUCT,2.25,0.06391,0.25566,0.12783
82,qwen2.5-1.5b,python,naive,3-shot,BASE vs ROBUST,2.25,0.06391,0.25566,0.12783
83,qwen2.5-1.5b,python,naive,3-shot,BASE vs REASONING,1.154,0.84502,0.84502,0.84502
84,qwen2.5-1.5b,python,naive,3-shot,BASE vs EDGE,1.75,0.14961,0.29923,0.19948
85,codellama-13b,python,zero,0-shot,BASE vs STRUCT,0.933,1.0,1.0,1.0
86,codellama-13b,python,zero,0-shot,BASE vs ROBUST,1.5,0.40487,1.0,1.0
87,codellama-13b,python,zero,0-shot,BASE vs REASONING,0.867,0.84502,1.0,1.0
88,codellama-13b,python,zero,0-shot,BASE vs EDGE,1.231,0.70111,1.0,1.0
89,qwen3.8-27b-original,python,zero,0-shot,BASE vs STRUCT,1.6,0.54883,1.0,0.54883
90,qwen3.8-27b-original,python,zero,0-shot,BASE vs ROBUST,2.8,0.04904,0.19617,0.15671
91,qwen3.8-27b-original,python,zero,0-shot,BASE vs REASONING,1.444,0.50344,1.0,0.54883
92,qwen3.8-27b-original,python,zero,0-shot,BASE vs EDGE,2.286,0.07835,0.23506,0.15671
