ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
71,qwen2.5-7b,java,zero,0-shot,BASE vs REASONING,2.667,0.04139,0.08278,0.05519
72,qwen2.5-7b,java,zero,0-shot,BASE vs EDGE,1.5,0.48068,0.48068,0.48068
73,codellama-34b,java,zero,0-shot,BASE vs STRUCT,1.455,0.42436,1.0,1.0
74,codellama-34b,java,zero,0-shot,BASE vs ROBUST,0.944,1.0,1.0,1.0
75,codellama-34b,java,zero,0-shot,BASE vs REASONING,0.889,0.86005,1.0,1.0
76,codellama-34b,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
77,codellama-7b,java,naive,3-shot,BASE vs STRUCT,0.667,0.34493,1.0,0.92005
78,codellama-7b,java,naive,3-shot,BASE vs ROBUST,1.25,0.69004,1.0,0.92005
79,codellama-7b,java,naive,3-shot,BASE vs REASONING,1.3,0.66362,1.0,0.92005
80,codellama-7b,java,naive,3-shot,BASE vs EDGE,1.067,1.0,1.0,1.0
81,qwen2.5-32b,java,naive,3-shot,BASE vs STRUCT,4.375,3e-05,3e-05,3e-05
82,qwen2.5-32b,java,naive,3-shot,BASE vs ROBUST,4.333,1e-05,2e-05,1e-05
83,qwen2.5-32b,java,naive,3-shot,BASE vs REASONING,5.25,0.0,0.0,0.0
84,qwen2.5-32b,java,naive,3-shot,BASE vs EDGE,4.556,0.0,1e-05,1e-05
85,codellama-34b,java,naive,3-shot,BASE vs STRUCT,1.2,0.7201,1.0,0.96013
86,codellama-34b,java,naive,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
87,codellama-34b,java,naive,3-shot,BASE vs REASONING,1.364,0.54126,1.0,0.96013
88,codellama-34b,java,naive,3-shot,BASE vs EDGE,1.214,0.71107,1.0,0.96013
89,qwen2.5-32b,java,zero,0-shot,BASE vs STRUCT,0.625,0.54883,1.0,0.80965
90,qwen2.5-32b,java,zero,0-shot,BASE vs ROBUST,1.5,0.48068,1.0,0.80965
91,qwen2.5-32b,java,zero,0-shot,BASE vs REASONING,1.429,0.60724,1.0,0.80965
92,qwen2.5-32b,java,zero,0-shot,BASE vs EDGE,0.875,1.0,1.0,1.0
